REG0,REG1,REG2,REG3,REG4,REG5,REG6
0,255,255,16,14,47,84,
255,0,0,24,240,32,84,
0,0,0,28,16,32,85,
0,255,0,16,14,32,85,
0,255,0,20,15,33,85,
0,0,0,24,32,32,84,
0,0,0,16,0,32,85,
0,255,0,20,15,34,85,
0,0,0,24,0,32,84,
255,255,255,28,254,47,85,
0,0,0,16,0,32,84,
0,0,255,24,0,47,84,
0,0,0,28,32,33,84,
255,255,0,16,255,33,85,
255,255,255,20,239,47,85,
0,0,255,24,0,47,85,
255,255,0,16,254,32,84,
0,0,0,20,49,32,85,
0,0,0,24,32,33,85,
0,0,0,28,0,32,85,
0,255,255,16,13,47,85,
255,0,0,24,241,32,84,
0,0,0,28,32,33,84,
0,0,0,16,16,33,84,
0,0,255,20,32,47,85,
0,255,0,24,13,34,84,
0,255,0,16,31,32,84,
255,255,0,20,255,33,84,
255,0,0,24,209,33,86,
0,0,0,28,1,32,84,
0,0,0,16,3,33,85,
0,0,0,24,0,33,85,
255,0,255,28,224,47,84,
255,0,0,16,243,32,85,
0,0,0,20,1,32,85,
0,0,0,24,17,32,86,
0,0,0,16,16,33,84,
0,255,255,20,15,47,84,
0,255,255,24,13,47,85,
255,255,255,28,222,47,85,
0,0,0,16,16,33,84,
255,0,0,24,240,32,85,
255,255,255,28,255,47,85,
0,255,0,16,14,32,86,
255,255,0,20,255,32,85,
0,255,0,24,45,32,85,
0,255,0,16,30,32,84,
0,255,255,20,31,47,86,
255,0,0,24,241,32,84,
0,0,0,28,0,32,85,
255,255,0,16,239,32,84,
0,255,255,24,31,47,85,
255,255,0,28,239,33,86,
0,255,0,16,15,32,84,
0,255,0,20,46,32,86,
0,0,255,24,17,47,84,
255,255,0,16,239,33,84,
255,255,0,20,255,33,84,
0,0,0,24,2,32,85,
0,255,0,28,29,32,84,
0,0,0,16,33,32,85,
255,0,0,24,192,32,85,
0,0,0,28,1,33,85,
0,255,0,16,45,33,84,
255,255,255,20,239,47,85,
0,0,0,24,32,33,84,
0,255,0,16,63,33,85,
0,0,0,20,16,32,85,
0,0,0,24,0,33,85,
0,0,0,28,34,33,85,
0,0,0,16,16,33,84,
255,255,0,24,255,32,85,
255,0,0,28,240,33,84,
0,0,0,16,16,32,85,
0,255,255,20,14,47,85,
255,0,0,24,240,32,84,
0,0,0,16,33,33,84,
255,255,0,20,237,32,84,
255,0,0,24,240,33,84,
0,0,0,28,17,32,84,
0,255,0,16,15,32,85,
0,0,0,24,0,33,85,
0,0,0,28,0,33,85,
255,255,0,16,255,32,85,
0,0,0,20,2,32,85,
0,0,0,24,16,32,85,
0,0,0,16,16,32,86,
255,255,0,20,238,32,85,
255,255,0,24,238,32,85,
0,255,0,28,14,32,84,
0,0,0,16,34,32,84,
0,255,0,24,13,32,85,
255,255,255,28,255,47,85,
0,255,0,16,15,33,85,
0,0,0,20,1,32,84,
255,0,0,24,242,32,85,
0,255,0,16,47,32,85,
255,0,0,20,224,33,85,
0,255,0,24,14,32,84,
0,0,0,28,16,32,85,
255,0,0,16,208,33,85,
0,255,255,24,31,47,85,
0,255,255,28,31,47,84,
255,0,0,16,241,32,84,
0,255,0,20,31,33,85,
0,255,255,24,14,46,85,
0,255,0,16,47,32,85,
0,255,0,20,46,33,85,
0,255,0,24,30,32,85,
255,0,0,28,240,32,85,
255,0,0,16,208,32,84,
0,0,0,24,18,32,85,
255,255,0,28,223,32,84,
0,0,255,16,16,47,86,
255,0,0,20,224,34,84,
0,0,0,24,17,33,84,
255,0,0,16,240,33,84,
255,0,0,20,241,33,84,
0,0,255,24,35,47,85,
255,255,0,28,255,33,84,
0,0,0,16,33,32,85,
255,0,255,24,243,46,84,
0,0,0,28,18,32,84,
255,0,255,16,224,46,85,
0,0,255,20,2,47,84,
255,0,255,24,240,47,85,
255,255,0,16,255,32,84,
255,0,0,20,242,33,85,
0,0,255,24,0,47,85,
255,0,0,28,240,32,85,
0,0,0,16,0,32,85,
255,0,0,24,241,32,85,
0,255,255,28,14,47,85,
255,0,0,16,192,32,84,
255,255,0,20,255,32,84,
0,0,0,24,32,32,85,
255,255,0,16,238,32,85,
0,255,255,20,30,47,84,
255,0,255,24,226,47,84,
255,0,255,28,241,47,84,
0,255,0,16,14,32,85,
0,0,0,24,17,33,84,
255,255,0,28,255,32,85,
0,255,255,16,15,47,85,
0,0,0,20,16,32,85,
0,255,0,24,15,32,86,
255,255,0,16,254,32,85,
0,255,0,20,31,32,84,
0,0,0,24,16,33,84,
0,255,0,28,15,32,85,
255,255,0,16,255,32,85,
255,255,255,24,255,47,85,
0,255,0,28,47,32,85,
0,0,0,16,16,32,84,
0,0,255,20,0,47,83,
0,0,255,24,16,47,84,
0,0,0,16,16,33,85,
0,255,255,20,47,47,84,
0,255,0,24,14,32,85,
255,0,0,28,208,32,85,
255,0,0,16,240,32,85,
0,0,255,24,16,47,85,
255,255,255,28,255,47,84,
0,255,0,16,15,32,85,
255,255,0,20,254,33,85,
0,0,0,24,2,32,84,
0,255,0,16,15,33,85,
0,0,0,20,0,32,85,
0,255,0,24,14,33,84,
255,255,0,28,255,33,84,
0,0,0,16,0,32,85,
0,0,255,24,1,47,85,
0,255,0,28,31,32,85,
0,255,0,16,31,33,85,
0,0,0,20,0,32,84,
0,0,255,24,16,47,84,
255,0,0,16,240,33,84,
255,255,0,20,254,33,84,
0,255,0,24,14,32,85,
255,0,255,28,240,47,85,
0,255,0,16,31,33,86,
0,255,0,24,31,33,85,
255,0,0,28,240,33,84,
255,0,0,16,240,32,85,
0,255,0,20,31,32,84,
255,0,0,24,240,33,84,
0,0,0,16,2,33,84,
255,0,0,20,193,33,86,
255,255,255,24,255,47,85,
0,255,0,28,15,32,85,
0,0,0,16,35,33,85,
0,0,0,24,0,32,84,
255,255,0,28,255,33,85,
255,255,0,16,239,33,84,
255,255,0,20,238,32,85,
255,0,255,24,241,47,85,
255,0,255,16,241,46,85,
0,255,0,20,30,33,85,
255,255,255,24,254,47,85,
0,0,0,28,0,33,84,
255,255,0,16,223,32,85,
0,0,255,24,17,47,84,
255,255,255,28,255,47,84,
0,255,0,16,15,32,84,
255,255,255,20,255,47,84,
0,0,0,24,0,33,85,
0,255,255,16,15,47,85,
255,255,0,20,239,32,85,
0,0,255,24,0,47,84,
0,0,0,28,16,32,84,
255,0,0,16,241,32,85,
0,255,0,24,15,32,84,
255,255,0,28,255,32,85,
0,255,0,16,14,33,84,
255,255,0,20,239,33,84,
0,255,0,24,31,32,85,
0,255,0,16,15,32,85,
0,255,0,20,15,33,84,
255,255,255,24,255,47,84,
255,0,0,28,242,32,85,
0,255,0,16,13,33,85,
0,0,0,24,0,32,84,
255,255,255,28,255,47,84,
255,0,0,16,241,32,85,
255,0,255,20,241,46,85,
0,0,0,24,18,32,84,
255,0,0,16,240,32,84,
255,255,0,20,255,33,84,
0,255,0,24,15,32,84,
255,0,0,28,241,34,85,
255,0,0,16,240,32,86,
0,0,0,24,1,32,84,
255,255,255,28,255,46,84,
0,255,0,16,30,32,84,
0,255,0,20,15,32,84,
0,255,0,24,14,32,84,
0,255,0,16,15,32,84,
255,255,0,20,238,32,85,
0,0,255,24,0,47,85,
255,0,255,28,242,47,85,
255,0,0,16,225,32,85,
0,0,0,24,17,32,86,
0,0,255,28,16,47,84,
0,0,0,16,16,32,85,
255,255,255,20,255,47,84,
0,0,0,24,0,32,85,
0,255,0,16,31,32,84,
0,0,255,20,32,47,85,
0,255,0,24,29,33,85,
0,0,0,28,1,33,84,
0,0,0,16,32,32,85,
255,0,0,24,240,32,84,
0,255,0,28,45,32,85,
0,255,0,16,30,32,85,
0,0,0,20,32,32,85,
255,0,255,24,240,47,85,
0,255,0,16,14,33,84,
255,0,255,20,242,47,85,
0,0,0,24,16,32,84,
0,255,0,28,31,33,84,
255,255,0,16,252,32,84,
0,0,0,24,16,32,85,
255,0,0,28,240,32,84,
255,255,255,16,255,47,85,
255,255,0,20,238,32,85,
0,255,255,24,31,47,84,
0,0,0,16,1,32,85,
0,0,0,20,0,32,85,
255,255,0,24,255,32,85,
0,255,0,28,15,33,85,
0,255,0,16,46,32,85,
255,255,255,24,255,47,85,
255,255,0,28,239,32,85,
0,255,0,16,31,32,84,
0,0,0,20,0,33,84,
0,255,0,24,15,32,85,
0,0,0,16,16,32,85,
255,255,0,20,255,32,85,
0,0,0,24,17,33,84,
255,0,0,28,225,32,85,
0,0,0,16,16,32,85,
0,0,255,24,48,47,84,
255,0,0,28,225,32,84,
255,0,0,16,241,32,84,
0,0,0,20,1,33,85,
0,255,0,24,46,32,85,
0,0,0,16,16,33,85,
255,0,0,20,241,32,85,
0,255,0,24,15,32,85,
0,0,0,28,16,32,85,
0,0,0,16,48,32,84,
255,0,0,24,240,32,85,
0,0,0,28,32,33,84,
0,255,0,16,13,33,84,
255,255,0,20,255,32,85,
0,0,0,24,17,32,85,
255,255,0,16,239,33,84,
0,255,0,20,14,32,84,
0,0,0,24,2,33,85,
255,255,0,28,238,32,84,
255,0,0,16,225,32,84,
0,0,0,24,16,32,85,
0,0,0,28,0,32,84,
0,0,0,16,16,33,85,
0,255,0,20,30,32,86,
255,0,0,24,240,33,84,
255,0,0,16,225,32,85,
255,255,0,20,254,32,85,
0,0,0,24,0,32,85,
0,255,0,28,31,32,86,
255,255,255,16,255,47,84,
0,255,0,24,46,33,85,
255,0,0,28,240,32,85,
255,255,0,16,253,33,85,
0,0,0,20,17,32,85,
0,255,0,24,13,33,85,
255,0,255,16,241,47,84,
0,255,0,20,15,32,84,
0,0,0,24,16,32,84,
0,0,0,28,0,32,84,
0,255,0,16,14,32,84,
0,0,0,24,17,32,85,
0,0,0,28,0,32,84,
0,255,0,16,15,32,85,
255,0,0,20,224,32,84,
0,255,0,24,31,32,85,
0,0,0,16,1,32,84,
0,0,0,20,32,32,84,
0,0,0,24,32,33,85,
255,255,0,28,254,32,84,
0,255,0,16,14,33,85,
0,255,0,24,14,32,84,
0,255,0,28,15,33,84,
0,0,0,16,0,34,85,
0,255,0,20,13,33,85,
0,255,0,24,30,33,84,
0,0,0,16,18,32,85,
0,255,0,20,47,32,85,
0,255,255,24,15,47,84,
0,255,0,28,31,32,85,
255,0,0,16,193,33,85,
255,255,255,24,237,47,85,
0,255,0,28,46,32,84,
0,0,0,16,0,33,84,
0,0,255,20,16,47,84,
255,255,0,24,255,32,85,
0,0,0,16,1,32,85,
0,0,255,20,18,47,85,
0,255,0,24,47,32,85,
0,0,0,28,16,32,84,
0,255,0,16,31,32,86,
0,0,0,24,1,32,84,
0,0,0,28,3,33,84,
255,255,0,16,253,32,84,
0,255,0,20,31,32,85,
0,0,0,24,0,33,85,
255,255,0,16,239,32,84,
255,0,0,20,224,33,85,
0,255,0,24,31,32,84,
0,0,0,28,17,32,85,
255,0,0,16,240,32,84,
0,0,0,24,17,32,85,
0,0,0,28,0,33,84,
0,255,255,16,31,47,85,
255,255,0,20,253,32,85,
255,0,0,24,240,32,84,
0,255,0,16,15,32,84,
0,0,255,20,17,47,85,
0,255,0,24,15,32,85,
255,255,0,28,255,34,84,
0,0,255,16,0,47,85,
255,0,0,24,240,32,85,
255,0,0,28,240,32,85,
0,0,0,16,16,32,84,
255,0,255,20,241,47,84,
0,0,0,24,32,32,84,
255,0,0,16,193,32,85,
255,255,255,20,255,47,85,
0,0,0,24,16,33,84,
255,0,255,28,241,47,84,
0,255,0,16,15,33,85,
255,0,255,24,224,47,85,
0,0,255,28,0,47,85,
255,255,255,16,255,47,84,
0,255,0,20,14,33,85,
255,0,0,24,243,32,85,
255,255,0,16,239,33,84,
255,0,0,20,240,32,85,
0,255,0,24,15,33,85,
255,255,255,28,254,47,85,
0,0,255,16,0,47,86,
255,0,0,24,240,32,85,
255,0,0,28,240,32,85,
255,255,0,16,255,32,84,
0,0,0,20,2,33,84,
255,0,255,24,224,47,84,
0,0,0,16,16,32,84,
0,0,0,20,48,32,84,
0,255,0,24,29,32,84,
255,255,255,28,239,47,86,
255,255,0,16,255,32,85,
0,0,255,24,0,46,84,
255,255,255,28,255,47,84,
255,255,255,16,223,47,84,
0,0,0,20,0,33,85,
255,0,0,24,240,33,84,
0,0,0,16,0,32,84,
0,0,0,20,1,32,86,
0,255,255,24,31,47,85,
255,0,0,28,241,32,84,
0,255,0,16,15,32,84,
0,0,255,24,17,47,84,
255,0,0,28,224,33,85,
0,0,255,16,0,47,85,
0,0,0,20,17,32,85,
0,255,0,24,31,33,85,
0,0,0,16,0,33,84,
0,255,0,20,15,32,84,
0,0,0,24,2,32,84,
0,255,0,28,15,32,85,
255,255,255,16,239,47,85,
0,0,0,24,16,32,84,
0,255,0,28,30,32,84,
0,255,0,16,46,32,84,
0,255,0,20,31,32,85,
255,255,0,24,255,32,84,
0,0,0,16,0,32,84,
255,0,0,20,225,33,84,
255,0,0,24,240,32,85,
0,255,0,28,29,33,85,
255,0,255,16,240,47,84,
255,0,255,24,240,47,85,
0,0,0,28,16,32,85,
255,0,0,16,224,33,85,
255,255,0,20,255,33,85,
