Current,REG0,REG1,REG2,REG3,REG4,REG5,REG6
0.345,0,0,0,28,23,33,95,
0.345,0,0,0,16,10,32,96,
0.345,0,0,255,20,38,47,95,
0.345,0,0,0,24,22,32,95,
0.345,0,0,0,28,22,32,94,
0.345,0,0,255,16,21,47,96,
0.345,0,0,255,20,36,47,95,
0.345,255,0,0,24,243,33,94,
0.345,255,0,0,28,229,32,96,
0.345,255,0,0,16,229,32,95,
0.345,255,0,0,20,246,32,95,
0.445,255,0,0,16,232,32,96,
0.445,255,0,0,20,216,32,96,
0.445,255,0,0,24,232,32,95,
0.445,255,0,0,28,246,33,96,
0.445,0,0,255,16,7,47,95,
0.445,255,0,0,20,247,32,95,
0.445,255,0,0,24,233,32,95,
0.445,255,0,255,28,245,47,95,
0.445,0,0,0,16,21,32,95,
0.445,255,0,255,20,231,47,96,
0.445,255,0,0,24,248,32,94,
0.445,255,0,255,28,230,47,95,
0.445,255,0,0,16,246,32,95,
0.445,255,0,0,20,245,33,94,
0.445,255,0,255,24,231,47,95,
0.445,0,0,0,28,40,32,95,
0.445,255,0,0,16,248,32,95,
0.445,0,0,0,20,7,33,96,
0.445,0,0,0,24,4,32,95,
0.445,0,0,0,28,23,32,96,
0.445,0,0,255,16,5,47,96,
0.445,0,0,255,20,23,47,95,
0.445,255,0,0,24,244,32,95,
0.445,0,0,0,28,19,32,95,
0.445,0,0,255,16,7,47,95,
0.445,255,0,0,20,248,32,95,
0.445,255,0,255,24,247,47,95,
0.445,0,0,255,28,6,47,96,
0.445,255,0,255,16,231,47,95,
0.445,0,0,0,20,8,32,95,
0.445,0,0,0,24,24,32,95,
0.445,255,0,255,28,248,47,95,
0.445,0,0,0,16,24,32,96,
0.445,255,0,0,20,200,32,94,
0.445,255,0,0,24,232,32,95,
0.445,0,0,255,28,6,47,96,
0.445,0,0,0,16,57,32,95,
0.445,0,0,0,20,10,33,94,
0.445,0,0,0,24,22,32,95,
0.445,0,0,255,28,38,47,96,
0.445,0,0,0,16,7,32,95,
0.445,0,0,0,20,6,33,94,
0.445,255,0,255,24,229,47,96,
0.445,255,0,0,28,246,32,95,
0.445,255,0,0,16,219,32,95,
0.445,255,0,0,20,245,33,96,
0.445,0,0,0,24,7,33,95,
0.445,255,0,255,28,249,47,95,
0.445,0,0,255,16,22,47,95,
0.445,0,0,0,20,5,32,95,
0.545,0,0,0,16,9,32,95,
0.545,0,0,0,20,7,32,95,
0.545,0,0,0,24,11,32,95,
0.545,255,0,0,28,250,33,95,
0.545,255,0,0,16,232,33,96,
0.545,255,0,0,20,233,33,95,
0.545,255,0,0,24,216,32,96,
0.545,255,0,0,28,233,33,96,
0.545,255,0,255,16,232,46,95,
0.545,0,0,0,20,11,32,96,
0.545,0,0,0,24,10,32,95,
0.545,255,0,0,28,248,33,95,
0.545,0,0,0,16,7,32,94,
0.545,255,0,255,20,250,47,96,
0.545,255,0,0,24,249,33,94,
0.545,0,0,0,28,9,32,94,
0.545,255,0,0,16,232,32,94,
0.545,255,0,255,20,250,47,95,
0.545,255,0,0,24,247,32,96,
0.545,255,0,0,28,232,33,96,
0.545,0,0,0,16,11,32,96,
0.545,0,0,255,20,8,47,96,
0.545,255,0,255,24,232,47,97,
0.545,255,0,0,28,247,32,94,
0.545,255,0,0,16,248,32,94,
0.545,0,0,0,20,42,32,94,
0.545,255,0,0,24,231,33,96,
0.545,255,0,0,28,234,32,95,
0.545,0,0,0,16,9,32,96,
0.545,0,0,0,20,7,32,95,
0.545,255,0,255,24,233,47,95,
0.545,0,0,255,28,12,47,95,
0.545,255,0,255,16,249,47,95,
